Container_ID,Destination,Goods,Container_Length,Actual_Weight,Shipping_Company,Weight_Difference,Weight_Factor,Destination_Factor,Goods_Factor,Company_Factor,Risk_Score,Decision
C000001,Denmark,Ceramics,40,27009,SM Line,229,0.6,0.02,0.25,0.036,0.308,Proceed to further inspection
C000002,Denmark,Garments,40,26637,X-Press Feeders,143,0.4,0.02,0.17,0.036,0.209,Store to ship
C000003,Taiwan,Fertilizer,53,34284,Emirates Shipping Line,284,0.6,0.032,0.46,0.034,0.344,Proceed to further inspection
C000004,Colombia,Tea,53,34024,Hyundai Merchant Marine (HMM),24,0.01,0.043,0.17,0.03,0.047,Store to ship
C000005,Poland,Frozen Meat,45,28654,K Line,396,0.8,0.029,0.24,0.029,0.395,Proceed to further inspection
C000006,United Arab Emirates,Solar Panels,20,21950,Matson Navigation,223,0.6,0.045,0.24,0.028,0.313,Proceed to further inspection
C000007,Russia,Rubber,48,32899,CMA CGM,249,0.6,0.058,0.27,0.027,0.322,Proceed to further inspection
C000008,Oman,Rice,20,22021,Unifeeder,294,0.6,0.038,0.38,0.034,0.333,Proceed to further inspection
C000009,Norway,Semiconductors,53,34010,Mediterranean Shipping Company (MSC),10,0.01,0.02,0.32,0.026,0.062,Store to ship
C000010,Vietnam,Cement,20,21767,COSCO Shipping,40,0.01,0.048,0.3,0.032,0.069,Store to ship
C000011,Netherlands,Lithium Batteries,20,21681,Unifeeder,46,0.01,0.021,0.82,0.034,0.141,Store to ship
C000012,South Africa,Rice,45,28823,Unifeeder,227,0.6,0.046,0.38,0.034,0.336,Proceed to further inspection
C000013,Saudi Arabia,Granite,40,27001,Grimaldi Lines,221,0.6,0.05,0.29,0.033,0.323,Proceed to further inspection
C000014,France,Corn,20,22101,Safmarine,374,0.8,0.024,0.16,0.035,0.381,Proceed to further inspection
C000015,Spain,Cement,45,29208,Baltic Shipping Company,158,0.4,0.027,0.3,0.041,0.232,Store to ship
C000016,South Africa,Garments,48,32383,Iran Shipping Lines,267,0.6,0.046,0.17,0.07,0.307,Proceed to further inspection
C000017,Netherlands,Semiconductors,45,28857,PIL (Pacific International Lines),193,0.4,0.021,0.32,0.034,0.232,Store to ship
C000018,Germany,Electronics,40,27087,Mediterranean Shipping Company (MSC),307,0.8,0.022,0.28,0.026,0.398,Proceed to further inspection
C000019,Argentina,Sugar,20,22012,Maersk,285,0.6,0.05,0.18,0.025,0.305,Proceed to further inspection
C000020,Ukraine,Food Products,53,34028,North Korea Shipping Corporation,28,0.01,0.055,0.16,0.085,0.055,Store to ship
C000021,Saudi Arabia,Paper,48,32990,Mitsui O.S.K. Lines (MOL),340,0.8,0.05,0.21,0.028,0.397,Proceed to further inspection
C000022,Turkey,Cement,40,26482,Hapag-Lloyd,298,0.6,0.055,0.3,0.028,0.326,Proceed to further inspection
C000023,Indonesia,Chemicals,20,21708,Grimaldi Lines,19,0.01,0.047,0.71,0.033,0.132,Store to ship
C000024,China,Electronics,45,29081,Hapag-Lloyd,31,0.01,0.073,0.28,0.028,0.074,Store to ship
C000025,United Kingdom,Electrical Cables,53,34093,ZIM Integrated Shipping Services,93,0.07,0.025,0.27,0.035,0.083,Store to ship
C000026,Norway,Solvents,53,33739,Nippon Yusen Kaisha (NYK),261,0.6,0.02,0.78,0.029,0.389,Proceed to further inspection
C000027,Italy,Vaccines,53,34328,Maersk,328,0.8,0.026,0.19,0.025,0.386,Proceed to further inspection
C000028,Malaysia,Plastic Granules,48,32459,Maersk,191,0.4,0.073,0.39,0.025,0.259,Store to ship
C000029,Greece,Lubricants,20,21681,Hyundai Merchant Marine (HMM),46,0.01,0.024,0.37,0.03,0.072,Store to ship
C000030,Egypt,Tea,40,26637,Maersk,143,0.4,0.044,0.17,0.025,0.215,Store to ship
C000031,Belgium,Glass,40,26450,Wan Hai Lines,330,0.8,0.023,0.24,0.032,0.393,Proceed to further inspection
C000032,Vietnam,Marble,40,27100,Seaboard Marine,320,0.8,0.048,0.28,0.035,0.408,Proceed to further inspection
C000033,Australia,Vehicles,48,32407,Evergreen Marine,243,0.6,0.023,0.36,0.029,0.325,Proceed to further inspection
C000034,Chile,Lubricants,20,21660,Yang Ming Marine,67,0.07,0.039,0.37,0.031,0.103,Store to ship
C000035,Portugal,Vegetables,53,33757,Maersk,243,0.6,0.025,0.14,0.025,0.291,Store to ship
C000036,Philippines,Automobile Parts,48,32777,TS Lines,127,0.4,0.043,0.31,0.037,0.238,Store to ship
C000037,Indonesia,Electronics,48,32627,Evergreen Marine,23,0.01,0.047,0.28,0.029,0.065,Store to ship
C000038,Portugal,Vehicles,48,32390,Res Trans-Logis,260,0.6,0.025,0.36,0.042,0.327,Proceed to further inspection
C000039,Greece,Textiles,40,26684,Bahri,96,0.07,0.024,0.2,0.037,0.072,Store to ship
C000040,Italy,Vehicles,40,26878,Emirates Shipping Line,98,0.07,0.026,0.36,0.034,0.097,Store to ship
C000041,Thailand,Solvents,20,21475,Sinokor Merchant Marine,252,0.6,0.042,0.78,0.036,0.396,Proceed to further inspection
C000042,Brazil,Petroleum Products,45,28933,Black Sea Shipping,117,0.4,0.052,0.84,0.055,0.324,Proceed to further inspection
C000043,South Africa,Garments,40,27164,Hapag-Lloyd,384,0.8,0.046,0.17,0.028,0.389,Proceed to further inspection
C000044,Spain,Heavy Machinery,40,27140,Roy Shipping Agency,360,0.8,0.027,0.49,0.079,0.437,Proceed to further inspection
C000045,United Arab Emirates,Scientific Instruments,45,29055,Hapag-Lloyd,5,0.01,0.045,0.25,0.028,0.06,Store to ship
C000046,Poland,Automobile Parts,40,26564,Mediterranean Shipping Company (MSC),216,0.6,0.029,0.31,0.026,0.319,Proceed to further inspection
C000047,Belgium,Seafood,53,33788,K Line,212,0.6,0.023,0.22,0.029,0.303,Proceed to further inspection
C000048,Colombia,Industrial Chemicals,53,33629,Iran Shipping Lines,371,0.8,0.043,0.75,0.07,0.482,Proceed to further inspection
C000049,Peru,Rice,40,27163,Roy Shipping Agency,383,0.8,0.041,0.38,0.079,0.425,Proceed to further inspection
C000050,Italy,Mobile Phones,48,32658,Hyundai Merchant Marine (HMM),8,0.01,0.026,0.27,0.03,0.057,Store to ship
C000051,Saudi Arabia,Copper,20,21828,Mediterranean Shipping Company (MSC),101,0.4,0.05,0.35,0.026,0.245,Store to ship
C000052,Argentina,Furniture,53,33808,Baltic Shipping Company,192,0.4,0.05,0.21,0.041,0.225,Store to ship
C000053,Germany,Steel Coils,45,29400,K Line,350,0.8,0.022,0.4,0.029,0.417,Proceed to further inspection
C000054,Turkey,Coal,45,28896,Hyundai Merchant Marine (HMM),154,0.4,0.055,0.53,0.03,0.275,Store to ship
C000055,Greece,Scientific Instruments,40,27040,Hapag-Lloyd,260,0.6,0.024,0.25,0.028,0.308,Proceed to further inspection
C000056,Thailand,Sand,48,32396,Yang Ming Marine,254,0.6,0.042,0.42,0.031,0.34,Proceed to further inspection
C000057,Norway,Medical Equipment,40,26614,Hyundai Merchant Marine (HMM),166,0.4,0.02,0.23,0.03,0.218,Store to ship
C000058,Ukraine,Footwear,40,26397,Hamburg Süd,383,0.8,0.055,0.19,0.03,0.395,Proceed to further inspection
C000059,India,Semiconductors,53,33932,Mitsui O.S.K. Lines (MOL),68,0.07,0.04,0.32,0.028,0.095,Store to ship
C000060,Brazil,Scientific Instruments,48,32559,Bahri,91,0.07,0.052,0.25,0.037,0.089,Store to ship
C000061,Japan,Cotton,40,26582,Crowley Maritime,198,0.4,0.025,0.18,0.033,0.212,Store to ship
C000062,Ukraine,Semiconductors,53,33781,Baltic Shipping Company,219,0.6,0.055,0.32,0.041,0.33,Proceed to further inspection
C000063,South Africa,Automobile Parts,53,33980,Yang Ming Marine,20,0.01,0.046,0.31,0.031,0.07,Store to ship
C000064,United Arab Emirates,Petroleum Products,53,33721,ZIM Integrated Shipping Services,279,0.6,0.045,0.84,0.035,0.406,Proceed to further inspection
C000065,Sweden,Petroleum Products,45,29191,Syrian Shipping Lines,141,0.4,0.02,0.84,0.075,0.316,Proceed to further inspection
C000066,Indonesia,Scientific Instruments,20,21729,Maersk,2,0.01,0.047,0.25,0.025,0.06,Store to ship
C000067,Greece,Paper,40,26632,Matson Navigation,148,0.4,0.024,0.21,0.028,0.216,Store to ship
C000068,Russia,Ceramics,20,21860,Evergreen Marine,133,0.4,0.058,0.25,0.029,0.233,Store to ship
C000069,Pakistan,Solvents,53,34355,Syrian Shipping Lines,355,0.8,0.06,0.78,0.075,0.492,Proceed to further inspection
C000070,United Arab Emirates,Food Products,20,21814,Mitsui O.S.K. Lines (MOL),87,0.07,0.045,0.16,0.028,0.072,Store to ship
C000071,Egypt,Industrial Tools,40,26595,North Korea Shipping Corporation,185,0.4,0.044,0.3,0.085,0.241,Store to ship
C000072,Poland,Copper,48,32448,APL,202,0.6,0.029,0.35,0.031,0.325,Proceed to further inspection
C000073,Argentina,Copper,48,32907,Nippon Yusen Kaisha (NYK),257,0.6,0.05,0.35,0.029,0.332,Proceed to further inspection
C000074,Belgium,Coal,45,28912,PIL (Pacific International Lines),138,0.4,0.023,0.53,0.034,0.265,Store to ship
C000075,Japan,Natural Gas Equipment,20,21760,Hamburg Süd,33,0.01,0.025,0.52,0.03,0.095,Store to ship
C000076,Qatar,Sand,45,28826,Nippon Yusen Kaisha (NYK),224,0.6,0.035,0.42,0.029,0.338,Proceed to further inspection
C000077,United Arab Emirates,Chemicals,45,28813,Baltic Shipping Company,237,0.6,0.045,0.71,0.041,0.387,Proceed to further inspection
C000078,United Kingdom,Coal,48,32481,X-Press Feeders,169,0.4,0.025,0.53,0.036,0.266,Store to ship
C000079,Morocco,Industrial Chemicals,48,32637,Seaboard Marine,13,0.01,0.04,0.75,0.035,0.136,Store to ship
C000080,Australia,Computers,53,34085,Mediterranean Shipping Company (MSC),85,0.07,0.023,0.26,0.026,0.08,Store to ship
C000081,New Zealand,Timber,40,26823,CMA CGM,43,0.01,0.021,0.29,0.027,0.058,Store to ship
C000082,Norway,Scientific Instruments,20,21444,Grimaldi Lines,283,0.6,0.02,0.25,0.033,0.307,Proceed to further inspection
C000083,China,Coffee,40,26533,Sinokor Merchant Marine,247,0.6,0.073,0.18,0.036,0.314,Proceed to further inspection
C000084,New Zealand,Rubber,45,28818,Nippon Yusen Kaisha (NYK),232,0.6,0.021,0.27,0.029,0.31,Proceed to further inspection
C000085,New Zealand,Coal,40,26797,CMA CGM,17,0.01,0.021,0.53,0.027,0.095,Store to ship
C000086,Belgium,Plastic Granules,48,32895,Unifeeder,245,0.6,0.023,0.39,0.034,0.33,Proceed to further inspection
C000087,Kenya,Tea,20,21390,ZIM Integrated Shipping Services,337,0.8,0.049,0.17,0.035,0.391,Proceed to further inspection
C000088,Hong Kong,Solvents,53,33855,PIL (Pacific International Lines),145,0.4,0.03,0.78,0.034,0.306,Proceed to further inspection
C000089,South Korea,Electronics,53,33733,Roy Shipping Agency,267,0.6,0.028,0.28,0.079,0.319,Proceed to further inspection
C000090,Ukraine,Wind Turbine Parts,48,32333,Res Trans-Logis,317,0.8,0.055,0.31,0.042,0.415,Proceed to further inspection
C000091,Philippines,Food Products,45,28721,Sinokor Merchant Marine,329,0.8,0.043,0.16,0.036,0.387,Proceed to further inspection
C000092,Norway,Wheat,48,32734,COSCO Shipping,84,0.07,0.02,0.17,0.032,0.066,Store to ship
C000093,Taiwan,Iron Ore,53,33739,APL,261,0.6,0.032,0.64,0.031,0.371,Proceed to further inspection
C000094,Norway,Vegetables,48,33010,ZIM Integrated Shipping Services,360,0.8,0.02,0.14,0.035,0.377,Proceed to further inspection
C000095,Peru,Frozen Meat,53,34331,Crowley Maritime,331,0.8,0.041,0.24,0.033,0.399,Proceed to further inspection
C000096,Italy,Sand,48,32499,K Line,151,0.4,0.026,0.42,0.029,0.249,Store to ship
C000097,Taiwan,Wheat,45,29057,Res Trans-Logis,7,0.01,0.032,0.17,0.042,0.045,Store to ship
C000098,Hong Kong,Chemicals,48,32479,Seaboard Marine,171,0.4,0.03,0.71,0.035,0.295,Store to ship
C000099,Argentina,Marble,40,26532,Global Ocean Logistics,248,0.6,0.05,0.28,0.04,0.322,Proceed to further inspection
C000100,Egypt,Solar Panels,45,28724,Unifeeder,326,0.8,0.044,0.24,0.034,0.4,Proceed to further inspection
C000101,United States,Rice,48,32251,Iran Shipping Lines,399,0.8,0.028,0.38,0.07,0.42,Proceed to further inspection
C000102,Qatar,Petroleum Products,20,21472,Grimaldi Lines,255,0.6,0.035,0.84,0.033,0.403,Proceed to further inspection
C000103,Sri Lanka,Lithium Batteries,48,32304,Matson Navigation,346,0.8,0.075,0.82,0.028,0.499,Proceed to further inspection
C000104,Norway,Scientific Instruments,40,26919,Wan Hai Lines,139,0.4,0.02,0.25,0.032,0.221,Store to ship
C000105,Ukraine,Solar Panels,48,32758,X-Press Feeders,108,0.4,0.055,0.24,0.036,0.231,Store to ship
C000106,Indonesia,Natural Gas Equipment,45,29017,Unifeeder,33,0.01,0.047,0.52,0.034,0.103,Store to ship
C000107,Morocco,Iron Ore,20,21364,Black Sea Shipping,363,0.8,0.04,0.64,0.055,0.462,Proceed to further inspection
C000108,Indonesia,Timber,40,26987,Maersk,207,0.6,0.047,0.29,0.025,0.321,Proceed to further inspection
C000109,Norway,Granite,20,21744,Bahri,17,0.01,0.02,0.29,0.037,0.059,Store to ship
C000110,Portugal,Glass,40,27028,Global Ocean Logistics,248,0.6,0.025,0.24,0.04,0.308,Proceed to further inspection
